STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
6,75,277302,0500000US06075,06075,San Francisco,6,121485107,479107241
19,27,465203,0500000US19027,19027,Carroll,6,1474835092,2145349
19,79,465228,0500000US19079,19079,Hamilton,6,1493777024,1965341
72,1,1804480,0500000US72001,72001,Adjuntas,13,172725728,1051790
29,163,758536,0500000US29163,29163,Pike,6,1736428536,36976453
32,5,858643,0500000US32005,32005,Douglas,6,1838170316,72317570
51,115,1480145,0500000US51115,51115,Mathews,6,222554152,430025572
72,39,1804499,0500000US72039,72039,Ciales,13,172310206,459605
72,137,1804549,0500000US72137,72137,Toa Baja,13,60201690,48075984
26,99,1622992,0500000US26099,26099,Macomb,6,1241120517,237557908
54,7,1550010,0500000US54007,54007,Braxton,6,1322996693,14144661
35,13,929109,0500000US35013,35013,Dona Ana,6,9863129996,17627587
19,65,465221,0500000US19065,19065,Fayette,6,1892840950,1320705
40,119,1101847,0500000US40119,40119,Payne,6,1773393745,31771425
13,167,346664,0500000US13167,13167,Johnson,6,784793323,9278537
39,1,1074014,0500000US39001,39001,Adams,6,1512208934,6165939
17,153,1784966,0500000US17153,17153,Pulaski,6,515887465,10473563
1,117,161584,0500000US01117,01117,Shelby,6,2034107820,62542790
48,351,1383961,0500000US48351,48351,Newton,6,2418212543,15672146
39,35,1074030,0500000US39035,39035,Cuyahoga,6,1184013873,2041890563
48,469,1384020,0500000US48469,48469,Victoria,6,2284644914,17425945
13,139,1686953,0500000US13139,13139,Hall,6,1017805267,94061469
39,153,1074088,0500000US39153,39153,Summit,6,1069192868,18948340
8,39,198136,0500000US08039,08039,Elbert,6,4793658887,442148
39,137,1074081,0500000US39137,39137,Putnam,6,1249724511,4603965
17,125,424261,0500000US17125,17125,Mason,6,1396619099,62745252
20,109,485019,0500000US20109,20109,Logan,6,2779039722,274632
51,77,1501196,0500000US51077,51077,Grayson,6,1144219726,9792918
21,109,516901,0500000US21109,21109,Jackson,6,894055741,3407438
48,109,1383840,0500000US48109,48109,Culberson,6,9873439554,556134
37,167,1025844,0500000US37167,37167,Stanly,6,1023370455,25242751
24,31,1712500,0500000US24031,24031,Montgomery,6,1276943098,35936935
51,107,1480141,0500000US51107,51107,Loudoun,6,1335692947,14556679
38,59,1034207,0500000US38059,38059,Morton,6,4988626570,50054878
24,13,1696228,0500000US24013,24013,Carroll,6,1159279222,13186154
16,59,399754,0500000US16059,16059,Lemhi,6,11820055094,14109855
6,1,1675839,0500000US06001,06001,Alameda,6,1909616630,216916717
18,127,450382,0500000US18127,18127,Porter,6,1082777926,268688087
40,45,1101810,0500000US40045,40045,Ellis,6,3189606147,952235
4,25,42809,0500000US04025,04025,Yavapai,6,21039796372,11501575
27,11,659451,0500000US27011,27011,Big Stone,6,1292477791,75340289
27,163,659526,0500000US27163,27163,Washington,6,995558956,99517524
16,29,395406,0500000US16029,16029,Caribou,6,4569240963,89216874
8,23,198127,0500000US08023,08023,Costilla,6,3179452304,8828906
5,17,69160,0500000US05017,05017,Chicot,6,1668823393,120315319
13,293,346759,0500000US13293,13293,Upson,6,837697011,10663282
21,89,516891,0500000US21089,21089,Greenup,6,892135587,25884322
42,5,1213658,0500000US42005,42005,Armstrong,6,1691718473,27625399
39,159,1074091,0500000US39159,39159,Union,6,1118204745,13288624
8,67,198148,0500000US08067,08067,La Plata,6,4376522002,25375721
46,129,1266973,0500000US46129,46129,Walworth,6,1835347958,93215243
51,85,1480132,0500000US51085,51085,Hanover,6,1211828533,12648364
48,227,1383899,0500000US48227,48227,Howard,6,2333039139,8841781
72,63,1804512,0500000US72063,72063,Gurabo,13,72228545,1101116
54,21,1689673,0500000US54021,54021,Gilmer,6,876717634,4082111
51,45,1673664,0500000US51045,51045,Craig,6,849759834,2803739
48,63,1383817,0500000US48063,48063,Camp,6,507184763,19186958
40,137,1101856,0500000US40137,40137,Stephens,6,2253930695,54690951
6,55,277292,0500000US06055,06055,Napa,6,1938165958,104249021
20,143,485035,0500000US20143,20143,Ottawa,6,1866683174,1567629
31,29,835836,0500000US31029,31029,Chase,6,2316533465,7978174
1,1,161526,0500000US01001,01001,Autauga,6,1539614693,25744269
55,73,1581096,0500000US55073,55073,Marathon,6,4001465174,81219897
13,283,347505,0500000US13283,13283,Treutlen,6,516529395,7805621
13,195,1688004,0500000US13195,13195,Madison,6,731184825,8484621
8,77,198154,0500000US08077,08077,Mesa,6,8621911419,31428360
13,11,349230,0500000US13011,13011,Banks,6,601117836,4651151
37,19,1026340,0500000US37019,37019,Brunswick,6,2199384961,518918118
5,139,69903,0500000US05139,05139,Union,6,2691555882,41400824
2,282,1419986,0500000US02282,02282,Yakutat,3,19746741191,35390272145
25,7,606930,0500000US25007,25007,Dukes,6,267309256,1004275270
38,27,1034222,0500000US38027,38027,Eddy,6,1632134148,36114199
46,93,1266991,0500000US46093,46093,Meade,6,8989706542,30712698
5,19,66845,0500000US05019,05019,Clark,6,2243130473,43387485
29,133,758521,0500000US29133,29133,Mississippi,6,1065995413,44494832
29,107,758508,0500000US29107,29107,Lafayette,6,1627640379,27215050
51,143,1480157,0500000US51143,51143,Pittsylvania,6,2509683753,23925747
23,15,581293,0500000US23015,23015,Lincoln,6,1180630792,631357625
25,27,606940,0500000US25027,25027,Worcester,6,3912560126,177461132
10,3,217270,0500000US10003,10003,New Castle,6,1104150372,175375756
31,77,835860,0500000US31077,31077,Greeley,6,1475804206,2188873
21,61,516877,0500000US21061,21061,Edmonson,6,784468319,13258106
8,123,198177,0500000US08123,08123,Weld,6,10323705895,79558079
18,73,450494,0500000US18073,18073,Jasper,6,1449422928,4569484
6,79,277304,0500000US06079,06079,San Luis Obispo,6,8548552397,815578711
55,117,1581118,0500000US55117,55117,Sheboygan,6,1324905935,1967592839
48,499,1384035,0500000US48499,48499,Wood,6,1671154351,130748983
38,77,1035302,0500000US38077,38077,Richland,6,3718608511,25035912
26,125,1623005,0500000US26125,26125,Oakland,6,2246869568,102863438
20,27,484983,0500000US20027,20027,Clay,6,1671314205,26701337
6,101,277315,0500000US06101,06101,Sutter,6,1560275634,15717389
48,365,1383968,0500000US48365,48365,Panola,6,2101400666,25810622
46,89,1265762,0500000US46089,46089,McPherson,6,2943892857,38569612
48,453,1384012,0500000US48453,48453,Travis,6,2569073026,80592292
42,63,1213673,0500000US42063,42063,Indiana,6,2142009116,18802621
40,37,1101806,0500000US40037,40037,Creek,6,2460877094,50957689
